"id","name","region","country","latitude","longitude","ranking","ranking_out_of","rating","num_reviews","photo_count","amenities","brand","awards","price_level"
1006161,"Eden Roc Hotel","South Aegean","Dodecanese",36.399494,28.23275,1,9,4.5,3441,6478,"Pool,Free parking,Restaurant,Beachfront,Beach Access,Kids Activities,Internet,Wifi,Suites,Free Internet,Wheelchair access,Bar/Lounge,Breakfast included,Dry Cleaning,Meeting rooms,Non-smoking rooms,Tennis Court,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Conference Facilities,Babysitting,Safe,Flatscreen TV,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Private Beaches,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Kids Club,Aerobics,Baggage Storage,Bath / Shower,Bicycle Rental,Billiards,Blackout Curtains,Car Hire,Coffee Shop,Complimentary Tea,Couples Massage,Darts,English,Entertainment Staff,Evening Entertainment,Facial Treatments,Fitness Classes,Complimentary Instant Cofffee,Complimentary Toiletries,French,24-Hour Front Desk,Full Body Massage,German,Gift Shop,Greek,Hair Dryer,Head Massage,Indoor Play Area for Children,Ironing Service,Italian,Kid-Friendly Buffet,Kids' Outdoor Play Equipment,Massage,Mini Golf,Pool / Beach Towels,Pool with View,Shops,Snack Bar,Sun Loungers / Beach Chairs,Sun Umbrellas,Table Tennis,Taxi Service,Wake Up Service / Alarm Clock,Kids pool,Children's Playground,Electric Kettle,Free Wifi in the Business Center,Highchairs Available,Saltwater Pool,Strollers,Tile / Marble Floor,Water Park Off-site,Waterslide","","Travelers Choice 2023,Travelers Choice 2022","$$$"
10061941,"Ohla Eixample","Catalonia","Spain",41.394424,2.156406,12,553,4.5,850,584,"Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Airport transportation,Wifi,Public Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Infinity Pool,Outdoor pool,Breakfast Available,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,Catalan,24-Hour Check-in,Coffee / Tea Maker,Complimentary Tea,Desk,English,Complimentary Instant Cofffee,Complimentary Toiletries,24-Hour Front Desk,Hair Dryer,24-Hour Security,Heated pool,Bicycle Rental,Cable / Satellite TV,Children's Television Networks,Clothes Rack,Coffee Shop,Couples Massage,Currency Exchange,Electric Kettle,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Welcome Drink,Free Wifi in the Business Center,Free Wired Internet in the Business Center,French,Full Body Massage,Hand Massage,Head Massage,Highchairs Available,Iron,Ironing Service,Italian,Laptop Safe,Makeup Services,Manicure,Massage,Neck Massage,Outdoor Furniture,Pedicure,Personal Trainer,Pool / Beach Towels,Pool with View,Private Bathrooms,Paid Private Parking On-site,Paid Private Parking Nearby,Secured Parking,Shallow End,Shoeshine,Snack Bar,Soundproof Rooms,Spanish,Special Diet Menus,Sun Deck,Sun Terrace,Taxi Service,Telephone,Umbrella,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet","Preferred Hotels & Resorts","Travelers Choice 2023,Travelers Choice 2022","$$$$"
10062222,"Catalonia Magdalenes","Catalonia","Spain",41.386124,2.174538,8,553,5.0,1396,756,"Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Spa,Wifi,Public Wifi,Free Wifi,Dry Cleaning,Hot Tub,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Heated pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Sauna,Allergy-free Room,Baggage Storage,Blackout Curtains,Catalan,English,Fitness / Spa Locker Rooms,Complimentary Instant Cofffee,French,24-Hour Front Desk,Ironing Service,Massage,Pool / Beach Towels,Pool with View,24-Hour Security,Snack Bar,Soundproof Rooms,Spanish,Sun Terrace,Taxi Service,Wake Up Service / Alarm Clock,Car Hire,Beach Access","Catalonia","Travelers Choice Best of the Best 2023,Travelers Choice 2023,Travelers Choice 2022","$$$"
1008503,"The Westin Dubai Mina Seyahi Beach Resort & Marina","Emirate of Dubai","United Arab Emirates",25.09361,55.14817,37,982,4.5,6459,4853,"Pool,Free parking,Business center,Room service,Restaurant,Fitness center,Internet,Kids Activities,Beachfront,Suites,Free Internet,Wifi,Free Wifi,Wheelchair access,Meeting rooms,Bar/Lounge,Spa,Airport transportation,Public Wifi,Dry Cleaning,Hot Tub,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Smoking rooms available,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Safe,Swimup Bar,Heated pool,Flatscreen TV,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Adult pool,Outdoor pool,Private Beaches,Parking,Facilities for Disabled Guests,Housekeeping,Kids Club,Sauna,Additional Bathroom,Allergy-free Room,Arabic,Baggage Storage,Bathrobes,Breakfast in the Room,Car Hire,Couples Massage,Currency Exchange,Doorperson,English,Entertainment Staff,Facial Treatments,Filipino,Fitness Classes,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Instant Cofffee,French,24-Hour Front Desk,Full Body Massage,German,Gift Shop,Head Massage,Hindi,Interconnected room(s) available,Iron,Ironing Service,Kids' Meals,Kid-Friendly Buffet,Kids' Outdoor Play Equipment,Massage,Newspaper,Nightclub / DJ,Pool / Beach Towels,Pool with View,Russian,Salon,24-Hour Security,Shoeshine,Shops,Snack Bar,Special Diet Menus,Steam Room,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Valet Parking,VIP Room Facilities,Wake Up Service / Alarm Clock,Breakfast Available,Beach Access","Westin","Travelers Choice Best of the Best 2023,Travelers Choice 2023,Travelers Choice 2022","$$$$"
10127321,"The Corner Hotel","Catalonia","Spain",41.38905,2.156294,28,553,5.0,1764,1372,"Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Laundry Service,Concierge,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Minibar,Babysitting,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Private Balcony,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Bottled Water,Catalan,Complimentary Tea,English,Complimentary Instant Cofffee,Complimentary Toiletries,French,24-Hour Front Desk,Hair Dryer,Ironing Service,Italian,Laptop Safe,Parking Garage,Pool / Beach Towels,Pool with View,Private Check-in / Check-out,Paid Private Parking On-site,24-Hour Security,Snack Bar,Soundproof Rooms,Spanish,Sun Terrace,Taxi Service,Telephone,Wake Up Service / Alarm Clock","","Travelers Choice 2023,Travelers Choice 2022","$$"
10129251,"Signature 1 Hotel Barsha Heights","Emirate of Dubai","United Arab Emirates",25.09633,55.174057,420,982,4.0,405,296,"Pool,Internet,Suites,Room service,Free Internet,Free parking,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Air conditioning,Family Rooms,Safe,Rooftop Pool,Flatscreen TV,Breakfast Buffet,Outdoor pool,Breakfast Available,Arabic,Breakfast in the Room,Coffee Shop,Complimentary Tea,Complimentary Instant Cofffee,Kids' Meals,24-Hour Security,Happy Hour,Outdoor Dining Area","","","$$"
10129269,"Merkez Otel","Turkish Aegean Coast","Turkiye",38.42149,27.14355,41,136,4.0,12,23,"Internet,Free Internet,Free parking,Wifi,Non-smoking rooms,Family Rooms,Smoking rooms available,Free Wifi,Dry Cleaning,Laundry Service,Air conditioning,Non-smoking hotel,Housekeeping,Allergy-free Room,Baggage Storage,Express Check-in / Check-out,Children's Television Networks,Convenience Store,Evening Entertainment,24-Hour Front Desk,Ironing Service,Newspaper,Private Check-in / Check-out,Shared Kitchen,Shared Lounge / TV Area,Shops,Soundproof Rooms,VIP Room Facilities","","","$"
10129273,"Viona Hotel","Turkish Aegean Coast","Turkiye",38.38269,26.93802,33,136,4.0,17,5,"Kids Activities,Shuttle Bus Service,Free parking,Restaurant,Pets Allowed,Airport transportation,Free Wifi,Dry Cleaning,Laundry Service,Air conditioning,Non-smoking hotel,Safe,Housekeeping,Baggage Storage,Breakfast in the Room,Car Hire,Children's Television Networks,Currency Exchange,English,24-Hour Front Desk,Ironing Service,Newspaper,Parking Garage,Russian,Secured Parking,Snack Bar,Street Parking,Turkish,Vending Machine","","","$"
10138454,"Spil Suites","Turkish Aegean Coast","Turkiye",38.42391,27.148588,18,194,4.0,7,7,"Internet,Suites,Room service,Free Internet,Free parking,Pets Allowed,Kitchenette,Wifi,Free Wifi,Business center,Kids Activities,Laundry Service,Air conditioning,Family Rooms,Non-smoking hotel,Housekeeping,Bottled Water,Car Hire,Children's Television Networks,English,Free Private Parking Nearby,Russian,Secured Parking,Shared Kitchen,Shared Lounge / TV Area,Turkish,VIP Room Facilities","","","$"
10139366,"Deka Evleri","Turkish Aegean Coast","Turkiye",38.42612,27.14925,12,194,4.5,14,11,"Internet,Free Internet,Pets Allowed,Kitchenette,Wifi,Free Wifi,Non-smoking rooms,Laundry Service,Air conditioning,Family Rooms,Microwave,Minibar,Non-smoking hotel,Flatscreen TV,Private Balcony,Bath / Shower,Bottled Water,Cable / Satellite TV,Express Check-in / Check-out,Children's Television Networks,Clothes Rack,Coffee / Tea Maker,Desk,Electric Kettle,English,Complimentary Toiletries,Hair Dryer,Iron,Kitchenware,Paid Public Parking Nearby,Seating Area,Separate Dining Area,Separate Living Room,Sofa,Sofa Bed,Stovetop,Street Parking,Taxi Service,Tile / Marble Floor,Turkish,Washing Machine","","","$"
