"id","name","city","region","country","latitude","longitude","ranking","ranking_out_of","rating","num_reviews","photo_count","amenities_count","brand","awards_count","price_level"
1006161,"Eden Roc Hotel","Koskinou","South Aegean","Dodecanese",36.399494,28.23275,1,9,4.5,3441,6478,93,"",2,"$$$"
10061941,"Ohla Eixample","Barcelona","Catalonia","Spain",41.394424,2.156406,12,553,4.5,850,584,106,"Preferred Hotels & Resorts",2,"$$$$"
10062222,"Catalonia Magdalenes","Barcelona","Catalonia","Spain",41.386124,2.174538,8,553,5.0,1396,756,60,"Catalonia",3,"$$$"
1008503,"The Westin Dubai Mina Seyahi Beach Resort & Marina","Dubai","Emirate of Dubai","United Arab Emirates",25.09361,55.14817,37,982,4.5,6459,4853,103,"Westin",3,"$$$$"
10127321,"The Corner Hotel","Barcelona","Catalonia","Spain",41.38905,2.156294,28,553,5.0,1764,1372,61,"",2,"$$"
10129251,"Signature 1 Hotel Barsha Heights","Dubai","Emirate of Dubai","United Arab Emirates",25.09633,55.174057,420,982,4.0,405,296,36,"",0,"$$"
10129269,"Merkez Otel","Izmir","Turkish Aegean Coast","Turkiye",38.42149,27.14355,41,136,4.0,12,23,28,"",0,"$"
10129273,"Viona Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.38269,26.93802,33,136,4.0,17,5,29,"",0,"$"
10138454,"Spil Suites","Izmir","Turkish Aegean Coast","Turkiye",38.42391,27.148588,18,194,4.0,7,7,27,"",0,"$"
10139366,"Deka Evleri","Izmir","Turkish Aegean Coast","Turkiye",38.42612,27.14925,12,194,4.5,14,11,41,"",0,"$"
1015046,"Sofitel Dubai The Palm","Dubai","Emirate of Dubai","United Arab Emirates",25.139769,55.131283,80,982,4.5,13293,11563,176,"Sofitel",1,"$$$$"
10152051,"Jumeirah Al Naseem","Dubai","Emirate of Dubai","United Arab Emirates",25.13197,55.184113,234,982,4.5,3243,1857,84,"Jumeirah",3,"$$$$"
